,Tweet Id,Datetime,Username,Tweet Content,User Location,User Verified,Retweet Count,Reply Count,Like Count
24,1487805609369948161,2022-01-30 15:11:14+00:00,anandprakash7,"Union Cabinet Meeting at 1015AM on Feb 1st ( Tuesday) to approve the #Budget2022 , after which Union finance minister Nirmala Sitharaman will present this year's Budget in #Parliament . #BudgetSession https://t.co/6KB2JCyVXr",Delhi,True,1,0,11
25,1487804696492347394,2022-01-30 15:07:36+00:00,pahari_trader,"New video live on YouTube

Nifty Budget Analysis with two stocks for tomorrow💰

Hope you all like it😍
⬇️
https://t.co/lwwDPU8jbU",Shimla H.P,False,2,2,18
26,1487800249666404352,2022-01-30 14:49:56+00:00,teamauditors11,"Budget is for #future calculations. 
Not for any Ministers #resignations.

Ask for #needy support from Govt.
Don't tweet to #belittle any patriot. https://t.co/UvvymPTDoQ https://t.co/6eu4lCTw0P",Hyderabad ,False,0,0,0
27,1487780033188233223,2022-01-30 13:29:36+00:00,itsShubh00,Budget Friendly https://t.co/NmPPAJujkz,"Bhopal, India",False,0,0,1
28,1487777563216781322,2022-01-30 13:19:47+00:00,hiralbdesai,"While there wll be so much noise created by Media around the budget (it's their bread and butter to create hype), the moot question is will it matter in a month. I don't think it will. Most events r like that Election results, RBI Policy etc. Will it matter in a month?
Budget2023",India,False,0,1,2
29,1487768361744625670,2022-01-30 12:43:13+00:00,MDMITONISLAM1,"Finance Minister AHM Mustafa Kamal today expressed  optimism of achieving targeted 7.2 percent #GDP #growth in the current fiscal year (FY22).

The minister said this after a meeting of the Cabinet Committee on Govt Purchase (#CCGP).
#Bangladesh @IMFNews
https://t.co/VZ7bnKZX06","Rajshahi, Bangladesh",False,0,0,0
30,1487768046991450113,2022-01-30 12:41:58+00:00,PeethambaranA,In US under senile leadership there is not only monetary inflation said to be record breaking but inflation of military also. Military is over flowing into Europe and soon will overflow into Asia also.  Tiny  North Korea is defying the world bully. Itching for a war in Europe.,"New Delhi, India",False,0,0,0
31,1487758442060206083,2022-01-30 12:03:48+00:00,safdar12345,"@MuradSaeedPTI All of you when you sit on tv ,after every few min remind anchors why your channel is not increasing salaries, you had a big profit. Dont talk about inflation until your channel is not increasing salaries of low income employees.",uae,False,0,0,1
32,1487746989391777793,2022-01-30 11:18:17+00:00,propertiesindia,"#2BHK in low budget #Apartment #Flat #ForSale #AmbarnathEast #Thane #Residential #Property
https://t.co/RlrzEKqNun",India,False,0,0,0
33,1487742277229285383,2022-01-30 10:59:34+00:00,JuniorSahney,"Sunday Funday with @sahneydeepak

Roaming before tax hike in the Budget on Tuesday😀 https://t.co/OEqXNVKo2f","New Delhi, India",False,0,4,34
